15	10	E	-9125446.491815351	200
emissionprobs	10	9	H4k20me1	0	0.9934024402990035
emissionprobs	10	9	H4k20me1	1	0.006597559700996616
emissionprobs	11	0	Ctcf	0	0.9718071620555809
emissionprobs	11	0	Ctcf	1	0.02819283794441913
emissionprobs	11	1	H2afz	0	0.7624358689954367
emissionprobs	11	1	H2afz	1	0.23756413100456325
emissionprobs	11	2	H3k27ac	0	0.8797830297183095
emissionprobs	11	2	H3k27ac	1	0.12021697028169057
emissionprobs	11	3	H3k27me3	0	0.9887108205699179
emissionprobs	11	3	H3k27me3	1	0.011289179430082048
emissionprobs	11	4	H3k36me3	0	0.9961032404892883
emissionprobs	11	4	H3k36me3	1	0.0038967595107116913
emissionprobs	11	5	H3k4me1	0	0.3610659551538232
emissionprobs	11	5	H3k4me1	1	0.6389340448461768
emissionprobs	11	6	H3k4me2	0	0.7208138144365284
emissionprobs	11	6	H3k4me2	1	0.2791861855634717
emissionprobs	11	7	H3k4me3	0	0.9605688294867759
emissionprobs	11	7	H3k4me3	1	0.03943117051322419
emissionprobs	11	8	H3k9me3	0	0.9981814141704204
emissionprobs	11	8	H3k9me3	1	0.0018185858295796551
emissionprobs	11	9	H4k20me1	0	0.9852804495232943
emissionprobs	11	9	H4k20me1	1	0.014719550476705706
emissionprobs	12	0	Ctcf	0	0.9958807673178184
emissionprobs	12	0	Ctcf	1	0.004119232682181615
emissionprobs	12	1	H2afz	0	0.6073423450394986
emissionprobs	12	1	H2afz	1	0.39265765496050137
emissionprobs	12	2	H3k27ac	0	0.990971683932427
emissionprobs	12	2	H3k27ac	1	0.009028316067573015
emissionprobs	12	3	H3k27me3	0	0.9799252720592163
emissionprobs	12	3	H3k27me3	1	0.020074727940783604
emissionprobs	12	4	H3k36me3	0	0.9974805498601792
emissionprobs	12	4	H3k36me3	1	0.0025194501398208523
emissionprobs	12	5	H3k4me1	0	0.9635117948672719
emissionprobs	12	5	H3k4me1	1	0.03648820513272818
emissionprobs	12	6	H3k4me2	0	0.9618971056101052
emissionprobs	12	6	H3k4me2	1	0.038102894389894774
emissionprobs	12	7	H3k4me3	0	0.9963228267486354
emissionprobs	12	7	H3k4me3	1	0.003677173251364668
emissionprobs	12	8	H3k9me3	0	0.9965575438694793
emissionprobs	12	8	H3k9me3	1	0.003442456130520743
emissionprobs	12	9	H4k20me1	0	0.9994998998155562
emissionprobs	12	9	H4k20me1	1	5.001001844438373E-4
emissionprobs	13	0	Ctcf	0	0.8365916751390371
emissionprobs	13	0	Ctcf	1	0.1634083248609629
emissionprobs	13	1	H2afz	0	0.32053045375663286
emissionprobs	13	1	H2afz	1	0.6794695462433672
emissionprobs	13	2	H3k27ac	0	0.9752307643737493
emissionprobs	13	2	H3k27ac	1	0.024769235626250694
emissionprobs	13	3	H3k27me3	0	0.9348095860301037
emissionprobs	13	3	H3k27me3	1	0.06519041396989635
emissionprobs	13	4	H3k36me3	0	0.9967741731662495
emissionprobs	13	4	H3k36me3	1	0.0032258268337504743
emissionprobs	13	5	H3k4me1	0	0.8457965888391737
emissionprobs	13	5	H3k4me1	1	0.15420341116082628
emissionprobs	13	6	H3k4me2	0	0.4184291015861593
emissionprobs	13	6	H3k4me2	1	0.5815708984138407
emissionprobs	13	7	H3k4me3	0	0.32176722117313816
emissionprobs	13	7	H3k4me3	1	0.6782327788268618
emissionprobs	13	8	H3k9me3	0	0.9941865222297962
emissionprobs	13	8	H3k9me3	1	0.00581347777020378
emissionprobs	13	9	H4k20me1	0	0.9885737679112103
emissionprobs	13	9	H4k20me1	1	0.011426232088789753
emissionprobs	14	0	Ctcf	0	0.8007516558284076
emissionprobs	14	0	Ctcf	1	0.19924834417159246
emissionprobs	14	1	H2afz	0	0.15709682958055843
emissionprobs	14	1	H2afz	1	0.8429031704194416
emissionprobs	14	2	H3k27ac	0	0.11591481319365733
emissionprobs	14	2	H3k27ac	1	0.8840851868063426
emissionprobs	14	3	H3k27me3	0	0.995366752642496
emissionprobs	14	3	H3k27me3	1	0.0046332473575040455
emissionprobs	14	4	H3k36me3	0	0.9988431692490731
emissionprobs	14	4	H3k36me3	1	0.001156830750926856
emissionprobs	14	5	H3k4me1	0	0.8308102880590366
emissionprobs	14	5	H3k4me1	1	0.16918971194096355
emissionprobs	14	6	H3k4me2	0	0.19858631353454648
emissionprobs	14	6	H3k4me2	1	0.8014136864654534
emissionprobs	14	7	H3k4me3	0	0.013809880822999436
emissionprobs	14	7	H3k4me3	1	0.9861901191770005
emissionprobs	14	8	H3k9me3	0	0.9988292327083246
emissionprobs	14	8	H3k9me3	1	0.0011707672916753111
emissionprobs	14	9	H4k20me1	0	0.9572996960449611
emissionprobs	14	9	H4k20me1	1	0.04270030395503886
emissionprobs	15	0	Ctcf	0	0.03858480343813967
emissionprobs	15	0	Ctcf	1	0.9614151965618603
emissionprobs	15	1	H2afz	0	0.893411340882852
emissionprobs	15	1	H2afz	1	0.10658865911714796
emissionprobs	15	2	H3k27ac	0	0.9929757771770935
emissionprobs	15	2	H3k27ac	1	0.0070242228229065165
emissionprobs	15	3	H3k27me3	0	0.970541351498649
emissionprobs	15	3	H3k27me3	1	0.029458648501351107
emissionprobs	15	4	H3k36me3	0	0.9918249955465306
emissionprobs	15	4	H3k36me3	1	0.008175004453469447
emissionprobs	15	5	H3k4me1	0	0.961634652205578
emissionprobs	15	5	H3k4me1	1	0.03836534779442206
emissionprobs	15	6	H3k4me2	0	0.9566578497716822
emissionprobs	15	6	H3k4me2	1	0.04334215022831777
emissionprobs	15	7	H3k4me3	0	0.9928493084927363
emissionprobs	15	7	H3k4me3	1	0.007150691507263578
emissionprobs	15	8	H3k9me3	0	0.9959880950817409
emissionprobs	15	8	H3k9me3	1	0.004011904918259138
emissionprobs	15	9	H4k20me1	0	0.9839612643064591
emissionprobs	15	9	H4k20me1	1	0.016038735693540918
